model,strategy,algorithm,run,instance,cities,status,ran,length,optimum,gap_pct,runtime_s,reported_length,refinement_rounds,input_tokens,output_tokens,generation_error
gpt,zero_shot,genetic_algorithm,2,eil51,51,ok,True,432.0,426,1.41,2.51,432.0,1.0,212.0,6138.0,
gpt,zero_shot,genetic_algorithm,2,berlin52,52,ok,True,7711.0,7542,2.24,2.606,7711.0,1.0,212.0,6138.0,
gpt,zero_shot,genetic_algorithm,2,ch130,130,ok,True,6457.0,6110,5.68,4.143,6457.0,1.0,212.0,6138.0,
gpt,zero_shot,genetic_algorithm,2,d198,198,ok,True,17288.0,15780,9.56,5.828,17288.0,1.0,212.0,6138.0,
gpt,few_shot,greedy,2,eil51,51,ok,True,511.0,426,19.95,0.128,511.0,1.0,365.0,297.0,
gpt,few_shot,greedy,2,berlin52,52,ok,True,8980.0,7542,19.07,0.085,8980.0,1.0,365.0,297.0,
gpt,few_shot,greedy,2,ch130,130,ok,True,7579.0,6110,24.04,0.111,7579.0,1.0,365.0,297.0,
gpt,few_shot,greedy,2,d198,198,ok,True,18240.0,15780,15.59,0.112,18240.0,1.0,365.0,297.0,
gpt,few_shot,simulated_annealing,2,eil51,51,ok,True,440.0,426,3.29,6.294,440.0,1.0,355.0,1804.0,
gpt,few_shot,simulated_annealing,2,berlin52,52,ok,True,7717.0,7542,2.32,6.393,7717.0,1.0,355.0,1804.0,
gpt,few_shot,simulated_annealing,2,ch130,130,ok,True,6261.0,6110,2.47,14.079,6261.0,1.0,355.0,1804.0,
gpt,few_shot,simulated_annealing,2,d198,198,ok,True,15836.0,15780,0.35,21.245,15836.0,1.0,355.0,1804.0,
gpt,few_shot,genetic_algorithm,2,eil51,51,ok,True,492.0,426,15.49,8.148,492.0,1.0,353.0,2423.0,
gpt,few_shot,genetic_algorithm,2,berlin52,52,ok,True,9230.0,7542,22.38,7.878,9230.0,1.0,353.0,2423.0,
gpt,few_shot,genetic_algorithm,2,ch130,130,ok,True,8173.0,6110,33.76,11.585,8173.0,1.0,353.0,2423.0,
gpt,few_shot,genetic_algorithm,2,d198,198,ok,True,22378.0,15780,41.81,15.086,22378.0,1.0,353.0,2423.0,
gpt,chain_of_thought,greedy,2,eil51,51,ok,True,511.0,426,19.95,0.137,511.0,1.0,290.0,1053.0,
gpt,chain_of_thought,greedy,2,berlin52,52,ok,True,8980.0,7542,19.07,0.084,8980.0,1.0,290.0,1053.0,
gpt,chain_of_thought,greedy,2,ch130,130,ok,True,7579.0,6110,24.04,0.087,7579.0,1.0,290.0,1053.0,
gpt,chain_of_thought,greedy,2,d198,198,ok,True,18240.0,15780,15.59,0.089,18240.0,1.0,290.0,1053.0,
gpt,chain_of_thought,simulated_annealing,2,eil51,51,ok,True,441.0,426,3.52,0.377,441.0,1.0,280.0,4374.0,
gpt,chain_of_thought,simulated_annealing,2,berlin52,52,ok,True,8125.0,7542,7.73,0.322,8125.0,1.0,280.0,4374.0,
gpt,chain_of_thought,simulated_annealing,2,ch130,130,ok,True,6236.0,6110,2.06,0.641,6236.0,1.0,280.0,4374.0,
gpt,chain_of_thought,simulated_annealing,2,d198,198,ok,True,16410.0,15780,3.99,0.951,16410.0,1.0,280.0,4374.0,
gpt,chain_of_thought,genetic_algorithm,2,eil51,51,ok,True,438.0,426,2.82,28.377,438.0,1.0,278.0,2732.0,
gpt,chain_of_thought,genetic_algorithm,2,berlin52,52,ok,True,8106.0,7542,7.48,29.104,8106.0,1.0,278.0,2732.0,
gpt,chain_of_thought,genetic_algorithm,2,ch130,130,timeout,False,,6110,,60.0,,1.0,278.0,2732.0,
gpt,chain_of_thought,genetic_algorithm,2,d198,198,timeout,False,,15780,,60.0,,1.0,278.0,2732.0,
gpt,iterative_refinement,greedy,2,eil51,51,ok,True,511.0,426,19.95,0.084,511.0,1.0,224.0,287.0,
gpt,iterative_refinement,greedy,2,berlin52,52,ok,True,8980.0,7542,19.07,0.101,8980.0,1.0,224.0,287.0,
gpt,iterative_refinement,greedy,2,ch130,130,ok,True,7579.0,6110,24.04,0.097,7579.0,1.0,224.0,287.0,
gpt,iterative_refinement,greedy,2,d198,198,ok,True,18240.0,15780,15.59,0.099,18240.0,1.0,224.0,287.0,
gpt,iterative_refinement,simulated_annealing,2,eil51,51,ok,True,443.0,426,3.99,0.298,443.0,1.0,214.0,5583.0,
gpt,iterative_refinement,simulated_annealing,2,berlin52,52,ok,True,7667.0,7542,1.66,0.324,7667.0,1.0,214.0,5583.0,
gpt,iterative_refinement,simulated_annealing,2,ch130,130,ok,True,6481.0,6110,6.07,0.585,6481.0,1.0,214.0,5583.0,
gpt,iterative_refinement,simulated_annealing,2,d198,198,ok,True,16206.0,15780,2.7,0.945,16206.0,1.0,214.0,5583.0,
gpt,iterative_refinement,genetic_algorithm,2,eil51,51,ok,True,437.0,426,2.58,2.139,437.0,1.0,212.0,6064.0,
gpt,iterative_refinement,genetic_algorithm,2,berlin52,52,ok,True,7657.0,7542,1.52,2.345,7657.0,1.0,212.0,6064.0,
gpt,iterative_refinement,genetic_algorithm,2,ch130,130,ok,True,6410.0,6110,4.91,2.9,6410.0,1.0,212.0,6064.0,
gpt,iterative_refinement,genetic_algorithm,2,d198,198,ok,True,16365.0,15780,3.71,2.608,16365.0,1.0,212.0,6064.0,
claude,zero_shot,greedy,2,eil51,51,ok,True,511.0,426,19.95,0.162,511.0,1.0,341.0,248.0,
claude,zero_shot,greedy,2,berlin52,52,ok,True,8980.0,7542,19.07,0.089,8980.0,1.0,341.0,248.0,
claude,zero_shot,greedy,2,ch130,130,ok,True,7579.0,6110,24.04,0.093,7579.0,1.0,341.0,248.0,
claude,zero_shot,greedy,2,d198,198,ok,True,18240.0,15780,15.59,0.094,18240.0,1.0,341.0,248.0,
claude,zero_shot,simulated_annealing,2,eil51,51,ok,True,438.0,426,2.82,0.312,438.0,1.0,328.0,1685.0,
